date,service,Match Happening-L1
2018-12-08,midi,0
2018-12-08,diner,1
2018-08-18,midi,0
2018-08-18,diner,1
2018-08-25,midi,0
2018-08-25,diner,1
2018-01-09,midi,0
2018-01-09,diner,1
2018-09-14,midi,0
2018-09-14,diner,1
2018-09-23,midi,0
2018-09-23,diner,1
2018-09-26,midi,0
2018-09-26,diner,1
2018-09-29,midi,0
2018-09-29,diner,1
2018-07-10,midi,0
2018-07-10,diner,1
2018-10-20,midi,0
2018-10-20,diner,1
2018-10-28,midi,0
2018-10-28,diner,1
2018-02-11,midi,0
2018-02-11,diner,1
2018-11-11,midi,0
2018-11-11,diner,1
2018-11-24,midi,0
2018-11-24,diner,1
2018-02-12,midi,0
2018-02-12,diner,1
2018-05-12,midi,0
2018-05-12,diner,1
2018-12-22,midi,0
2018-12-22,diner,1
2019-12-01,midi,0
2019-12-01,diner,1
2019-01-19,midi,0
2019-01-19,diner,1
2019-01-27,midi,0
2019-01-27,diner,1
2019-03-02,midi,0
2019-03-02,diner,1
2019-09-02,midi,0
2019-09-02,diner,1
2019-02-17,midi,0
2019-02-17,diner,1
2019-02-20,midi,0
2019-02-20,diner,1
2019-02-23,midi,0
2019-02-23,diner,1
2019-02-03,midi,0
2019-02-03,diner,1
2019-12-03,midi,0
2019-12-03,diner,1
2019-03-17,midi,0
2019-03-17,diner,1
2019-03-31,midi,0
2019-03-31,diner,1
2019-07-04,midi,0
2019-07-04,diner,1
2019-04-14,midi,0
2019-04-14,diner,1
2019-04-17,midi,0
2019-04-17,diner,1
2019-04-21,midi,0
2019-04-21,diner,1
2019-04-30,midi,0
2019-04-30,diner,1
2019-04-05,midi,0
2019-04-05,diner,1
2019-11-05,midi,0
2019-11-05,diner,1
2019-05-18,midi,0
2019-05-18,diner,1
2019-05-24,midi,0
2019-05-24,diner,1
2019-11-08,midi,0
2019-11-08,diner,1
2019-08-18,midi,0
2019-08-18,diner,1
2019-08-25,midi,0
2019-08-25,diner,1
2019-08-30,midi,0
2019-08-30,diner,1
2019-09-14,midi,0
2019-09-14,diner,1
2019-09-22,midi,0
2019-09-22,diner,1
2019-09-25,midi,0
2019-09-25,diner,1
2019-09-28,midi,0
2019-09-28,diner,1
2019-05-10,midi,0
2019-05-10,diner,1
2019-10-18,midi,0
2019-10-18,diner,1
2019-10-27,midi,0
2019-10-27,diner,1
2019-01-11,midi,0
2019-01-11,diner,1
2019-09-11,midi,0
2019-09-11,diner,1
2019-11-22,midi,0
2019-11-22,diner,1
2019-04-12,midi,0
2019-04-12,diner,1
2019-07-12,midi,0
2019-07-12,diner,1
2019-12-15,midi,0
2019-12-15,diner,1
2019-12-21,midi,0
2019-12-21,diner,1
2020-12-01,midi,0
2020-12-01,diner,1
2020-01-15,midi,0
2020-01-15,diner,1
2020-01-26,midi,0
2020-01-26,diner,1
2020-01-02,midi,0
2020-01-02,diner,1
2020-04-02,midi,0
2020-04-02,diner,1
2020-09-02,midi,0
2020-09-02,diner,1
2020-02-15,midi,0
2020-02-15,diner,1
2020-02-22,midi,0
2020-02-22,diner,1
2020-02-29,midi,0
2020-02-29,diner,1
2020-10-09,midi,0
2020-10-09,diner,1
2020-09-13,midi,0
2020-09-13,diner,1
2020-09-16,midi,0
2020-09-16,diner,1
2020-09-20,midi,0
2020-09-20,diner,1
2020-09-27,midi,0
2020-09-27,diner,1
2020-02-10,midi,0
2020-02-10,diner,1
2020-10-16,midi,0
2020-10-16,diner,1
2020-10-24,midi,0
2020-10-24,diner,1
2020-10-31,midi,0
2020-10-31,diner,1
2020-07-11,midi,0
2020-07-11,diner,1
2020-11-20,midi,0
2020-11-20,diner,1
2020-11-28,midi,0
2020-11-28,diner,1
2020-05-12,midi,0
2020-05-12,diner,1
2020-12-13,midi,0
2020-12-13,diner,1
2020-12-16,midi,0
2020-12-16,diner,1
2020-12-20,midi,0
2020-12-20,diner,1
2020-12-23,midi,0
2020-12-23,diner,1
2021-06-01,midi,0
2021-06-01,diner,1
2021-09-01,midi,0
2021-09-01,diner,1
2021-01-16,midi,0
2021-01-16,diner,1
2021-01-22,midi,0
2021-01-22,diner,1
2021-01-31,midi,0
2021-01-31,diner,1
2021-03-02,midi,0
2021-03-02,diner,1
2021-07-02,midi,0
2021-07-02,diner,1
2021-02-13,midi,0
2021-02-13,diner,1
2021-02-21,midi,0
2021-02-21,diner,1
2021-02-27,midi,0
2021-02-27,diner,1
2021-03-03,midi,0
2021-03-03,diner,1
2021-03-14,midi,0
2021-03-14,diner,1
2021-03-21,midi,0
2021-03-21,diner,1
2021-03-04,midi,0
2021-03-04,diner,1
2021-10-04,midi,0
2021-10-04,diner,1
2021-04-18,midi,0
2021-04-18,diner,1
2021-04-24,midi,0
2021-04-24,diner,1
2021-01-05,midi,0
2021-01-05,diner,1
2021-09-05,midi,0
2021-09-05,diner,1
2021-05-16,midi,0
2021-05-16,diner,1
2021-05-23,midi,0
2021-05-23,diner,1
2021-07-08,midi,0
2021-07-08,diner,1
2021-08-14,midi,0
2021-08-14,diner,1
2021-08-20,midi,0
2021-08-20,diner,1
2021-08-29,midi,0
2021-08-29,diner,1
2021-12-09,midi,0
2021-12-09,diner,1
2021-09-19,midi,0
2021-09-19,diner,1
2021-09-22,midi,0
2021-09-22,diner,1
2021-09-26,midi,0
2021-09-26,diner,1
2021-03-10,midi,0
2021-03-10,diner,1
2021-10-17,midi,0
2021-10-17,diner,1
2021-10-24,midi,0
2021-10-24,diner,1
2021-10-31,midi,0
2021-10-31,diner,1
2021-07-11,midi,0
2021-07-11,diner,1
2021-11-21,midi,0
2021-11-21,diner,1
2021-11-28,midi,0
2021-11-28,diner,1
2021-01-12,midi,0
2021-01-12,diner,1
2021-05-12,midi,0
2021-05-12,diner,1
2021-12-12,midi,0
2021-12-12,diner,1
2021-12-22,midi,0
2021-12-22,diner,1
2022-09-01,midi,0
2022-09-01,diner,1
2022-01-16,midi,0
2022-01-16,diner,1
2022-01-23,midi,0
2022-01-23,diner,1
2022-06-02,midi,0
2022-06-02,diner,1
2022-02-13,midi,0
2022-02-13,diner,1
2022-02-20,midi,0
2022-02-20,diner,1
2022-02-27,midi,0
2022-02-27,diner,1
2022-06-03,midi,0
2022-06-03,diner,1
2022-03-13,midi,0
2022-03-13,diner,1
2022-03-20,midi,0
2022-03-20,diner,1
2022-03-04,midi,0
2022-03-04,diner,1
2022-10-04,midi,0
2022-10-04,diner,1
2022-04-17,midi,0
2022-04-17,diner,1
2022-04-20,midi,0
2022-04-20,diner,1
2022-04-24,midi,0
2022-04-24,diner,1
2022-01-05,midi,0
2022-01-05,diner,1
2022-08-05,midi,0
2022-08-05,diner,1
2022-05-14,midi,0
2022-05-14,diner,1
2022-05-21,midi,0
2022-05-21,diner,1
